0.166,84,0.00197619,1,0,0
0.891,72,0.012375,4,0,0
0.054,64,0.00084375,1,0,3
0.088,64,0.001375,1,0,3
0.034,89,0.000382022,1,0,3
0.146,89,0.00164045,1,0,3
0.017,89,0.000191011,1,0,3
0.07,89,0.000786517,2,0,3
0.011,89,0.000123596,2,0,3
0.048,49,0.000979592,1,0,3
0.012,49,0.000244898,2,0,3
0.035,49,0.000714286,2,0,3
0.009,49,0.000183673,2,0,3
0.007,49,0.000142857,2,0,3
0.064,49,0.00130612,2,0,3
0.008,49,0.000163265,2,0,3
0.008,49,0.000163265,2,0,3
0.064,49,0.00130612,2,0,3
0.008,49,0.000163265,2,0,3
0.007,49,0.000142857,2,0,3
0.064,49,0.00130612,2,0,3
0.009,49,0.000183673,2,0,3
0.007,49,0.000142857,2,0,3
0.072,49,0.00146939,2,0,3
0.052,49,0.00106122,2,0,3
0.027,49,0.00055102,2,0,3
0.08,49,0.00163265,2,0,3
0.083,49,0.00169388,2,0,3
0.08,49,0.00163265,2,0,3
0.06,49,0.00122449,2,0,3
0.013,49,0.000265306,2,0,3
0.011,49,0.00022449,2,0,3
0.078,49,0.00159184,2,0,3
0.072,49,0.00146939,2,0,3
0.03,49,0.000612245,2,0,3
0.13,49,0.00265306,2,0,3
0.009,49,0.000183673,2,0,3
0.009,49,0.000183673,2,0,3
0.011,49,0.00022449,2,0,3
0.018,49,0.000367347,2,0,3
0.012,49,0.000244898,2,0,3
0.009,49,0.000183673,2,0,3
0.013,49,0.000265306,2,0,3
0.012,40,0.0003,1,0,2
0.017,40,0.000425,1,0,2
0.11,40,0.00275,1,0,2
0.007,40,0.000175,1,0,2
0.012,30,0.0004,1,0,6
0.063,30,0.0021,1,0,6
0.074,30,0.00246667,1,0,6
0.038,30,0.00126667,1,0,6
0.055,30,0.00183333,1,0,6
0.008,30,0.000266667,1,0,6
0.0252286,30,0.000840955,1,0,6
