0.00357821,40,8.94552e-05,2,0,6
0.012,40,0.0003,2,0,6
0.029,40,0.000725,2,0,6
0.047,40,0.001175,2,0,6
0.022,40,0.00055,2,0,6
0.008,40,0.0002,2,0,6
0.007,40,0.000175,2,0,6
0.226,40,0.00565,2,0,6
0.009,40,0.000225,2,0,6
0.008,40,0.0002,1,0,6
0.068,40,0.0017,1,0,6
0.007,40,0.000175,1,0,6
0.009,40,0.000225,1,0,6
0.067,40,0.001675,1,0,6
0.007,40,0.000175,1,0,6
0.01,40,0.00025,1,0,6
0.225,40,0.005625,1,0,6
0.008,40,0.0002,1,0,6
0.008,40,0.0002,1,0,6
0.226,40,0.00565,1,0,6
0.008,40,0.0002,1,0,6
0.009,40,0.000225,1,0,6
0.03,40,0.00075,1,0,6
0.193,40,0.004825,1,0,6
0.039,40,0.000975,2,0,6
0.008,40,0.0002,2,0,6
0.01,40,0.00025,2,0,3
0.039,40,0.000975,2,0,3
0.092,40,0.0023,1,0,3
0.014,40,0.00035,1,0,3
0.072,40,0.0018,1,0,3
0.005,40,0.000125,1,0,3
0.007,40,0.000175,1,0,3
0.065,40,0.001625,1,0,3
0.009,40,0.000225,1,0,3
0.009,40,0.000225,2,0,3
0.134,40,0.00335,2,0,3
0.085,40,0.002125,2,0,3
0.007,40,0.000175,2,0,3
0.008,40,0.0002,2,0,3
0.016,40,0.0004,2,0,3
0.1,40,0.0025,2,0,3
0.048,40,0.0012,2,0,3
0.008,40,0.0002,2,0,3
0.009,40,0.000225,1,0,2
0.041,40,0.001025,1,0,2
0.025,40,0.000625,1,0,2
0.006,40,0.00015,1,0,2
0.006,40,0.00015,1,0,2
0.065,40,0.001625,1,0,2
0.007,40,0.000175,1,0,2
0.007,40,0.000175,1,0,2
0.029,40,0.000725,1,0,2
0.042,40,0.00105,1,0,2
0.027,40,0.000675,1,0,2
0.007,40,0.000175,1,0,2
0.007,40,0.000175,1,0,2
0.059,40,0.001475,1,0,2
0.006,40,0.00015,1,0,2
0.005,40,0.000125,1,0,2
0.067,40,0.001675,1,0,2
0.007,40,0.000175,1,0,2
0.008,40,0.0002,1,0,2
0.082,40,0.00205,1,0,2
0.006,40,0.00015,1,0,2
0.007,40,0.000175,1,0,2
0.072,40,0.0018,1,0,2
0.073,40,0.001825,1,0,2
0.006,40,0.00015,1,0,2
0.009,40,0.000225,1,0,2
0.071,40,0.001775,1,0,2
0.052,40,0.0013,1,0,2
0.021,40,0.000525,1,0,2
0.006,40,0.00015,1,0,2
0.008,40,0.0002,1,0,2
0.067,40,0.001675,1,0,2
0.008,40,0.0002,1,0,2
0.009,40,0.000225,1,0,2
0.067,40,0.001675,1,0,2
0.006,40,0.00015,1,0,2
0.008,40,0.0002,1,0,2
0.066,40,0.00165,1,0,2
0.009,40,0.000225,1,0,2
0.009,40,0.000225,1,0,2
0.068,40,0.0017,1,0,2
0.009,40,0.000225,1,0,2
0.01,40,0.00025,1,0,2
0.068,40,0.0017,1,0,2
0.009,40,0.000225,1,0,2
0.01,40,0.00025,1,0,2
0.069,40,0.001725,1,0,2
0.007,40,0.000175,1,0,2
0.008,40,0.0002,1,0,2
0.069,40,0.001725,1,0,2
0.006,40,0.00015,1,0,2
0.009,40,0.000225,1,0,2
0.03,40,0.00075,1,0,2
0.037,40,0.000925,1,0,2
0.008,40,0.0002,1,0,2
0.008,40,0.0002,1,0,2
0.151,40,0.003775,1,0,2
0.009,40,0.000225,1,0,2
0.008,40,0.0002,1,0,2
0.058,40,0.00145,1,0,2
0.094,40,0.00235,1,0,2
0.007,40,0.000175,1,0,2
0.008,40,0.0002,1,0,2
0.094,40,0.00235,1,0,2
0.011,40,0.000275,1,0,2
0.012,40,0.0003,1,0,2
0.141,40,0.003525,1,0,2
0.004,40,0.0001,1,0,2
0.052,40,0.0013,1,0,2
0.008,40,0.0002,1,0,2
0.009,40,0.000225,2,0,2
